,fluxes,kcat,MW,kcat_MW,equ
EX_23cump_e,0.0,,,,23cump_e --> 
ECAP2pp,0.0,113152.013172,179.58022171800002,630.0917333184155,eca2und_p + unagamuf_p --> eca3und_p + h_p + udcpdp_p
ECA4OALpp,0.0,9951.7668048,61.9148004621,160.7332452099525,colipa_p + eca4und_p --> eca4colipa_p + h_p + udcpdp_p
FE3Ri,0.0,41567.575824,34.659725066,1199.3048342087504,fadh2_c + 2.0 fe3_c --> fad_c + 2.0 fe2_c + 2.0 h_c
FE3HOXR3,0.0,,,,2.0 fe3hox_c + rbflvrd_c --> 2.0 fe2_c + 2.0 fe3hox_un_c + 2.0 h_c + ribflv_c
FEENTERR1,0.0,,,,fadh2_c + 2.0 feenter_c --> 2.0 enter_c + fad_c + 2.0 fe2_c + 2.0 h_c
NODOy,0.0,18721.9777752,57.9392737321,323.1310399534313,nadph_c + 2.0 no_c + 2.0 o2_c --> h_c + nadp_c + 2.0 no3_c
PYRtex_num1,0.0,,,,pyr_e --> pyr_p
GALM2pp,0.0,52658.368848,50.4409812565,1043.9600407498865,gal_bD_p --> gal_p
CU1abcpp,0.0,,,,atp_c + cu_c + h2o_c --> adp_c + cu_p + h_c + pi_c
HG2abcpp,0.0,,,,atp_c + h2o_c + hg2_c --> adp_c + h_c + hg2_p + pi_c
FEENTERR3,0.0,,,,2.0 feenter_c + rbflvrd_c --> 2.0 enter_c + 2.0 fe2_c + 2.0 h_c + ribflv_c
SULFACtex_num1,0.0,,,,sulfac_e --> sulfac_p
EX_sulfac_e,0.0,,,,sulfac_e --> 
EX_butso3_e,0.0,,,,butso3_e --> 
GLCTR3,0.0,14212.7419248,51.5633741519,275.63638257905376,ggagicolipa_c + udpg_c --> gggagicolipa_c + h_c + udp_c
HEPT4,0.0,66050.802396,55.1151969035,1198.4136156067248,adphep_LD_c + gggagicolipa_c --> adp_c + colipa_c + h_c
EX_ethso3_e,0.0,,,,ethso3_e --> 
DSERtex_num1,0.0,,,,ser__D_e --> ser__D_p
LA4NTpp,0.0,30335.109192,82.6045774298,367.2327870423373,colipa_p + uLa4n_p --> acolipa_p + udcpp_p
NODOx,0.0,34540.483975200004,57.9392737321,596.1497573288289,nadh_c + 2.0 no_c + 2.0 o2_c --> h_c + nad_c + 2.0 no3_c
SERtex_num1,0.0,,,,ser__L_e --> ser__L_p
NOtex_num1,0.0,,,,no_e --> no_p
NOtpp,0.0,,,,no_p --> no_c
NHFRBO,0.0,76271.50746,341.2088930519,223.53317575576384,h_c + nadh_c + 2.0 no_c --> h2o_c + n2o_c + nad_c
N2Otpp,0.0,,,,n2o_p --> n2o_c
N2Otex_num1,0.0,,,,n2o_e --> n2o_p
CRNt8pp,0.0,,,,crn__D_c + crn_p --> crn__D_p + crn_c
CRNt2rpp,0.0,,,,crn_p + h_p --> crn_c + h_c
CRNDt2rpp,0.0,,,,crn__D_p + h_p --> crn__D_c + h_c
CTBTt2rpp,0.0,,,,ctbt_p + h_p --> ctbt_c + h_c
42A12BOOXpp,0.0,12329.9658504,222.8900853929,55.31859269857304,dopa_p + h2o_p + o2_p --> 34dhpac_p + h2o2_p + nh4_p
TYROXDApp,0.0,12377.0295072,222.8900853929,55.52974456168548,h2o_p + o2_p + tym_p --> 4hoxpacd_p + h2o2_p + nh4_p
PACALDt2rpp,0.0,,,,h_p + pacald_p --> h_c + pacald_c
PEAMNtex_num1,0.0,,,,peamn_e --> peamn_p
PACALDtex_num1,0.0,,,,pacald_e --> pacald_p
LIPOt2pp,0.0,,,,h_p + lipoate_p --> h_c + lipoate_c
AGM4PA,0.0,20099.443014,27.1236584826,741.0299398546814,anhgm4p_c + h2o_c --> LalaDgluMdapDala_c + anhgm_c
RNDR3b_num1,0.0,19613.2922136,341.0165885031,57.514188091825645,cdp_c + grxrd_c --> dcdp_c + grxox_c + h2o_c
RNDR4b_num1,0.0,173713.978656,342.875312346,506.6389220834393,grxrd_c + udp_c --> dudp_c + grxox_c + h2o_c
ACGAL1Ptex_num1,0.0,,,,acgal1p_e --> acgal1p_p
ACGALtex_num1,0.0,,,,acgal_e --> acgal_p
GLCUR1Ptex_num1,0.0,,,,glcur1p_e --> glcur1p_p
UDPGLCURtex_num1,0.0,,,,udpglcur_e --> udpglcur_p
UDPGALPpp,0.0,15095.4539364,80.334696952,187.90702534696229,h2o_p + udpgal_p --> gal1p_p + 2.0 h_p + ump_p
UACGAMPpp,0.0,11672.5733784,80.334696952,145.2992769161047,h2o_p + uacgam_p --> acgam1p_p + 2.0 h_p + ump_p
UACGALPpp,0.0,13846.8708684,80.334696952,172.36476135179183,h2o_p + udpacgal_p --> acgal1p_p + 2.0 h_p + ump_p
UGLCURPpp,0.0,14359.6217628,80.334696952,178.74744422549918,h2o_p + udpglcur_p --> glcur1p_p + 2.0 h_p + ump_p
FEROpp_num1,0.0,9485.9333316,74.6979019426,126.99062604046448,4.0 fe2_p + 4.0 h_p + o2_p --> 4.0 fe3_p + 2.0 h2o_p
ISETACabcpp_num1,0.0,,,,atp_c + h2o_c + isetac_p --> adp_c + h_c + isetac_c + pi_c
ISETACtex_num1,0.0,,,,isetac_e --> isetac_p
GUR1PPpp,0.0,,,,glcur1p_p + h2o_p --> glcur_p + pi_p
UDPGtex_num1,0.0,,,,udpg_e --> udpg_p
ACGAL1PPpp,0.0,,,,acgal1p_p + h2o_p --> acgal_p + pi_p
UDPGALtex_num1,0.0,,,,udpgal_e --> udpgal_p
ACGAM1Ptex_num1,0.0,,,,acgam1p_e --> acgam1p_p
UACGAMtex_num1,0.0,,,,uacgam_e --> uacgam_p
UDPACGALtex_num1,0.0,,,,udpacgal_e --> udpacgal_p
AM4PCP,0.0,54473.386392,44.3350476775,1228.6754891581,anhm4p_c + h2o_c --> ala__D_c + anhm3p_c
AM3PA,0.0,9367.1614548,27.1236584826,345.35022112924383,anhm3p_c + h2o_c --> LalaDgluMdap_c + anhm_c
UM4PCP,0.0,9321.330906,44.3350476775,210.2474541993234,h2o_c + um4p_c --> ala__D_c + ugmd_c
CBLAT,0.0,9949.3846164,29.0555531497,342.4262675413126,atp_c + cbl1_c + h_c --> adocbl_c + pppi_c
NTRIR4pp,0.0,752249.22732,177.0193749483,4249.530468287444,2.0 h_p + 3.0 mql8_c + no2_p --> 2.0 h2o_p + 3.0 mqn8_c + nh4_p
NTRIR3pp,0.0,1003797.46872,177.0193749483,5670.551424176972,2.0 h_p + no2_p + 3.0 q8h2_c --> 2.0 h2o_p + nh4_p + 3.0 q8_c
INOSTt4pp,0.0,,,,inost_p + na1_p --> inost_c + na1_c
PHEMEtiex,0.0,,,,pheme_p --> pheme_e
AGM3PA,0.0,24213.9320676,27.1236584826,892.7236745416697,anhgm3p_c + h2o_c --> LalaDgluMdap_c + anhgm_c
CYANtex_num1,0.0,,,,cyan_e --> cyan_p
SO3tex_num1,0.0,,,,so3_e --> so3_p
TCYNTtex_num1,0.0,,,,tcynt_e --> tcynt_p
ACANTHAT,0.0,14042.5862616,85.2548405316,164.71306701224864,accoa_c + anth_c --> acanth_c + coa_c
METSOX2abcpp,0.0,,,,atp_c + h2o_c + metsox_R__L_p --> adp_c + h_c + metsox_R__L_c + pi_c
METSOX1tex_num1,0.0,,,,metsox_S__L_e --> metsox_S__L_p
METSOX2tex_num1,0.0,,,,metsox_R__L_e --> metsox_R__L_p
3UMPtex_num1,0.0,,,,3ump_e --> 3ump_p
MSO3abcpp,0.0,,,,atp_c + h2o_c + mso3_p --> adp_c + h_c + mso3_c + pi_c
MSO3tex_num1,0.0,,,,mso3_e --> mso3_p
FECRMR1,0.0,,,,fadh2_c + 2.0 fecrm_c --> fad_c + 2.0 fe2_c + 2.0 fecrm_un_c + 2.0 h_c
FECRMR2,0.0,,,,2.0 fecrm_c + fmnh2_c --> 2.0 fe2_c + 2.0 fecrm_un_c + fmn_c + 2.0 h_c
TDP,0.0,157841.506296,23.0249036317,6855.251549400126,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c
3PEPTabcpp_num1,0.0,26082.6351408,273.1978006537,95.47161462643624,LalaDgluMdap_p + atp_c + h2o_c --> LalaDgluMdap_c + adp_c + h_c + pi_c
4PEPTabcpp_num1,0.0,49599.608148,266.46595275,186.1386328576644,LalaDgluMdapDala_p + atp_c + h2o_c --> LalaDgluMdapDala_c + adp_c + h_c + pi_c
3GMPtex_num1,0.0,,,,3gmp_e --> 3gmp_p
FALDtpp,0.0,,,,fald_p --> fald_c
EX_tym_e,0.0,,,,tym_e --> 
AGM3Pt2pp,0.0,14196.1897512,70.32482253959999,201.86598754950444,anhgm3p_p + h_p --> anhgm3p_c + h_c
SO4tex_num1,0.07064685148039743,,,,so4_e --> so4_p
AGM4Pt2pp,0.0,37678.091148,70.32482253959999,535.7722890346921,anhgm4p_p + h_p --> anhgm4p_c + h_c
AGMt2pp,0.0,34185.316248,70.32482253959999,486.10597245020006,anhgm_p + h_p --> anhgm_c + h_c
FECRMexs,0.0,,,,fe3_e + fecrm_un_e --> fecrm_e
ARBTNR1,0.0,,,,2.0 arbtn_fe3_c + fadh2_c --> 2.0 arbtn_c + fad_c + 2.0 fe2_c + 2.0 h_c
ARBTNR2,0.0,,,,2.0 arbtn_fe3_c + fmnh2_c --> 2.0 arbtn_c + 2.0 fe2_c + fmn_c + 2.0 h_c
METSOXR1_num1,0.0,9516.0982104,133.9335143742,71.05091100508831,metsox_S__L_c + trdrd_c --> h2o_c + met__L_c + trdox_c
METSOXR2_num1,0.0,9462.1843548,63.4630105727,149.0976281996676,metsox_R__L_c + trdrd_c --> h2o_c + met__L_c + trdox_c
DAPAL,0.0,33933.6146736,114.4517163923,296.4884734212947,23dappa_c + h2o_c --> 2.0 nh4_c + pyr_c
AMPTASECG_num1,0.0,81038.05956000001,365.961103613,221.43899654892533,cgly_c + h2o_c --> cys__L_c + gly_c
EX_imp_e,0.0,,,,imp_e --> 
DOPAtex_num1,0.0,,,,dopa_e --> dopa_p
4HOXPACDtex_num1,0.0,,,,4hoxpacd_e --> 4hoxpacd_p
ARBTNR3,0.0,,,,2.0 arbtn_fe3_c + rbflvrd_c --> 2.0 arbtn_c + 2.0 fe2_c + 2.0 h_c + ribflv_c
ARBTNexs,0.0,,,,arbtn_e + fe3_e --> arbtn_fe3_e
FEOXAMexs,0.0,,,,fe3_e + feoxam_un_e --> feoxam_e
LACZpp,0.0,21454.23258,110.23171458,194.62849382089323,h2o_p + lcts_p --> gal_p + glc__D_p
SPMDtex_num1,0.0,,,,spmd_e --> spmd_p
GPDDA1pp,0.0,37449.601092,107.8895878191,347.11042880979653,g3pc_p + h2o_p --> chol_p + glyc3p_p + h_p
GPDDA5pp,0.0,28550.5626132,107.8895878191,264.62759929226104,g3pi_p + h2o_p --> glyc3p_p + h_p + inost_p
ETHAtex_num1,0.0,,,,etha_e --> etha_p
G3PStex_num1,0.0,,,,g3ps_e --> g3ps_p
FEOXAMR1,0.0,26079.9234732,39.7721731944,655.7329252722883,fadh2_c + 2.0 feoxam_c --> fad_c + 2.0 fe2_c + 2.0 feoxam_un_c + 2.0 h_c
FEOXAMR2,0.0,10115.688006,39.7721731944,254.3408416873813,2.0 feoxam_c + fmnh2_c --> 2.0 fe2_c + 2.0 feoxam_un_c + fmn_c + 2.0 h_c
FEOXAMR3,0.0,57714.151968,39.7721731944,1451.1188937527374,2.0 feoxam_c + rbflvrd_c --> 2.0 fe2_c + 2.0 feoxam_un_c + 2.0 h_c + ribflv_c
PTHRpp_num1,0.0,21548.4839532,137.9074561766,156.2532190109118,h2o_p + thrp_p --> pi_p + thr__L_p
FEENTERR2,0.0,,,,2.0 feenter_c + fmnh2_c --> 2.0 enter_c + 2.0 fe2_c + fmn_c + 2.0 h_c
FLVR_num1,0.0,11168.072226,34.659725066,322.2204505296407,h_c + nadph_c + ribflv_c --> nadp_c + rbflvrd_c
SUCCtex_num1,0.0,,,,succ_e --> succ_p
FE3HOXR1,0.0,,,,fadh2_c + 2.0 fe3hox_c --> fad_c + 2.0 fe2_c + 2.0 fe3hox_un_c + 2.0 h_c
FEENTERexs,0.0,,,,enter_e + fe3_e --> feenter_e
SUCRtex_num1,0.0,,,,sucr_e --> sucr_p
FE3HOXexs,0.0,,,,fe3_e + fe3hox_un_e --> fe3hox_e
FECRMR3,0.0,,,,2.0 fecrm_c + rbflvrd_c --> 2.0 fe2_c + 2.0 fecrm_un_c + 2.0 h_c + ribflv_c
FDMO2,0.0,9825.6390012,220.4965805623,44.5614121368373,fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
LALGP,0.0,231021.28378800003,139.77846320839998,1652.7673754973491,LalaLglu_c + h2o_c --> ala__L_c + glu__L_c
AGM4PApp_num1,0.0,24410.5069536,41.4882535533,588.3715235744932,anhgm4p_p + h2o_p --> LalaDgluMdapDala_p + anhgm_p
ARABDI,0.0,86322.637188,514.91656178,167.64393223164893,arab__D_c --> rbl__D_c
AGt3,0.0,,,,ag_c + h_e --> ag_e + h_c
CD2t3pp_num1,0.0,,,,cd2_c + h_p --> cd2_p + h_c
ZNabcpp,0.0,,,,atp_c + h2o_c + zn2_p --> adp_c + h_c + pi_c + zn2_c
SKMt2pp,0.0,,,,h_p + skm_p --> h_c + skm_c
FE2t2pp,0.0,,,,fe2_p + h_p --> fe2_c + h_c
GLYC2Ptex_num1,0.0,,,,glyc2p_e --> glyc2p_p
PSERtex_num1,0.0,,,,pser__L_e --> pser__L_p
TARTRtex_num1,0.0,,,,tartr__L_e --> tartr__L_p
R5Ptex_num1,0.0,,,,r5p_e --> r5p_p
THRPtex_num1,0.0,,,,thrp_e --> thrp_p
TYRPtex_num1,0.0,,,,tyrp_e --> tyrp_p
R5PPpp_num1,0.0,23570.4705408,137.9074561766,170.9151281176297,h2o_p + r5p_p --> pi_p + rib__D_p
PSP_Lpp_num1,0.0,23226.3900936,137.9074561766,168.42011837167823,h2o_p + pser__L_p --> pi_p + ser__L_p
TYRPpp,0.0,9537.079284,137.9074561766,69.15564646328559,h2o_p + tyrp_p --> pi_p + tyr__L_p
R1PK,0.0,,,,atp_c + r1p_c --> adp_c + h_c + r15bp_c
PAPSR2_num1,0.0,25460.248014,106.0605813687,240.0538228759293,grxrd_c + paps_c --> grxox_c + 2.0 h_c + pap_c + so3_c
GRXR_num1,0.0,11950.2672876,34.0198105475,351.2737753467056,grxox_c + 2.0 gthrd_c --> grxrd_c + gthox_c
RNDR1b_num1,0.0,22837.6664424,321.6470562262,71.00225542353259,adp_c + grxrd_c --> dadp_c + grxox_c + h2o_c
R15BPK,0.0,17862.1958772,27.379095980800003,652.4026903490944,atp_c + r15bp_c --> adp_c + prpp_c
Kabcpp_num1,0.0,,,,atp_c + h2o_c + k_p --> adp_c + h_c + k_c + pi_c
RNDR2b_num1,0.0,27735.0097068,342.875312346,80.88949162607612,gdp_c + grxrd_c --> dgdp_c + grxox_c + h2o_c
TAURtex_num1,0.0,,,,taur_e --> taur_p
FACOAE181,0.0,28297.7382672,168.8810358769,167.56018886470272,h2o_c + odecoa_c --> coa_c + h_c + ocdcea_c
FACOAE160,0.0,129600.0,168.8810358769,767.4041038833244,h2o_c + pmtcoa_c --> coa_c + h_c + hdca_c
FACOAE140,0.0,63347.75856,168.8810358769,375.102854095324,h2o_c + tdcoa_c --> coa_c + h_c + ttdca_c
LEUabcpp_num1,0.0,,,,atp_c + h2o_c + leu__L_p --> adp_c + h_c + leu__L_c + pi_c
L_LACt2rpp_num1,0.0,,,,h_p + lac__L_p --> h_c + lac__L_c
MALt2_2pp,0.0,,,,2.0 h_p + mal__L_p --> 2.0 h_c + mal__L_c
CPGNR1,0.0,,,,2.0 cpgn_c + fadh2_c --> 2.0 cpgn_un_c + fad_c + 2.0 fe2_c + 2.0 h_c
CPGNR2,0.0,,,,2.0 cpgn_c + fmnh2_c --> 2.0 cpgn_un_c + 2.0 fe2_c + fmn_c + 2.0 h_c
THRtex_num1,0.0,,,,thr__L_e --> thr__L_p
CPGNR3,0.0,,,,2.0 cpgn_c + rbflvrd_c --> 2.0 cpgn_un_c + 2.0 fe2_c + 2.0 h_c + ribflv_c
CPGNUtpp,0.0,,,,cpgn_un_c + h_p --> cpgn_un_p + h_c
CPGNUtex,0.0,,,,cpgn_un_p + h_p --> cpgn_un_e + h_c
MALt2_3pp_num1,0.0,,,,3.0 h_p + mal__L_p --> 3.0 h_c + mal__L_c
MALTabcpp,0.0,,,,atp_c + h2o_c + malt_p --> adp_c + h_c + malt_c + pi_c
MALTHXabcpp,0.0,,,,atp_c + h2o_c + malthx_p --> adp_c + h_c + malthx_c + pi_c
MALTPTabcpp,0.0,,,,atp_c + h2o_c + maltpt_p --> adp_c + h_c + maltpt_c + pi_c
AAMYL,0.0,23490.41652,74.80779025620001,314.0102981193611,14glucan_c --> malthx_c
AAMYLpp,0.0,49598.118576,99.9992899171,495.9847076625957,14glucan_p --> malthx_p
MALTTRabcpp,0.0,,,,atp_c + h2o_c + malttr_p --> adp_c + h_c + malttr_c + pi_c
THMDtex_num1,0.0,,,,thymd_e --> thymd_p
MALTTTRabcpp,0.0,,,,atp_c + h2o_c + maltttr_p --> adp_c + h_c + maltttr_c + pi_c
MAN6Pt6_2pp,0.0,,,,man6p_p + 2.0 pi_c --> man6p_c + 2.0 pi_p
FACOAL80t2pp_num1,0.0,17459.32014,164.652845272,106.03716025166702,atp_c + coa_c + h_p + octa_p --> amp_c + h_c + occoa_c + ppi_c
PPGPPDP,0.0,90720.846864,104.7932996752,865.7122845180307,h2o_c + ppgpp_c --> gdp_c + ppi_c
CPGNabcpp,0.0,,,,atp_c + cpgn_p + h2o_c --> adp_c + cpgn_c + h_c + pi_c
CPGNexs,0.0,,,,cpgn_un_e + fe3_e --> cpgn_e
MANGLYCptspp,0.0,,,,manglyc_p + pep_c --> man6pglyc_c + pyr_c
MELIBt2pp_num1,0.0,,,,h_p + melib_p --> h_c + melib_c
CBIuabcpp,0.0,,,,atp_c + cbi_p + h2o_c --> adp_c + cbi_c + h_c + pi_c
METabcpp,0.0,,,,atp_c + h2o_c + met__L_p --> adp_c + h_c + met__L_c + pi_c
CITtex_num1,0.0,,,,cit_e --> cit_p
ACGAtex_num1,0.0,,,,acgam_e --> acgam_p
DDCAtexi,0.0,,,,ddca_e --> ddca_p
TTDCAtexi,0.0,,,,ttdca_e --> ttdca_p
HDCAtexi,0.0,,,,hdca_e --> hdca_p
GUACYC,0.0,,,,gtp_c --> 35cgmp_c + ppi_c
EX_fe3hox_un_e,0.0,,,,fe3hox_un_e --> 
GGPTRCS,0.0,10428.3901152,842.8194593206999,12.373219436111654,atp_c + glu__L_c + ptrc_c --> adp_c + ggptrc_c + h_c + pi_c
EX_23dappa_e,0.0,,,,23dappa_e --> 
RMNtpp,0.0,,,,h_p + rmn_p --> h_c + rmn_c
23PDE2pp,0.0,52628.119488,93.5532572906,562.5471631043673,23cump_p + h2o_p --> 3ump_p + h_p
23PDE4pp,0.0,48310.693776,93.5532572906,516.3977735797569,23ccmp_p + h2o_p --> 3cmp_p + h_p
23PDE9pp,0.0,43543.389348,93.5532572906,465.43958606105247,23cgmp_p + h2o_p --> 3gmp_p + h_p
SERt4pp,0.0,,,,na1_p + ser__L_p --> na1_c + ser__L_c
METDtex_num1,0.0,,,,met__D_e --> met__D_p
SUCCt2_3pp_num1,0.0,,,,3.0 h_p + succ_p --> 3.0 h_c + succ_c
MNLptspp_num1,0.0,,,,mnl_p + pep_c --> mnl1p_c + pyr_c
NAt3_1p5pp,0.0,,,,3.0 h_p + 2.0 na1_c --> 3.0 h_c + 2.0 na1_p
ATPHs,0.0,,,,atp_c + h2o_c + h_c --> itp_c + nh4_c
SARCOX,0.0,18240.2195256,54.022257246,337.6426764720308,h2o_c + o2_c + sarcs_c --> fald_c + gly_c + h2o2_c
GTPHs,0.0,,,,gtp_c + h2o_c + h_c --> nh4_c + xtp_c
MN6PP_num1,0.0,11553.0147432,39.2548264103,294.3081348124017,h2o_c + man6p_c --> man_c + pi_c
NAt3_2pp,0.0,,,,2.0 h_p + na1_c --> 2.0 h_c + na1_p
NH4tpp_num1,3.029862564553713,,,,nh4_p --> nh4_c
3KGK,0.0,46839.286692,145.69407339810002,321.49067974793013,3dhguln_c + atp_c --> 3dhgulnp_c + adp_c + h_c
METtex_num1,0.0,,,,met__L_e --> met__L_p
EX_cd2_e,0.0,,,,cd2_e --> 
F6PP_num1,0.0,18699.0304284,30.3876847975,615.3489663002681,f6p_c + h2o_c --> fru_c + pi_c
NMNPtpp,0.0,,,,nmn_p --> nmn_c
NO2t2rpp_num1,0.0,,,,h_p + no2_p --> h_c + no2_c
NO3t7pp_num1,0.0,,,,no2_c + no3_p --> no2_p + no3_c
ORNabcpp,0.0,,,,atp_c + h2o_c + orn_p --> adp_c + h_c + orn_c + pi_c
PIuabcpp,0.0,,,,atp_c + h2o_c + pi_p --> adp_c + h_c + 2.0 pi_c
PNTOt4pp,0.0,,,,na1_p + pnto__R_p --> na1_c + pnto__R_c
FRULYSDG,0.0,41650.557624,611.2944242084,68.13501968046852,frulysp_c + h2o_c --> g6p_c + lys__L_c
METDabcpp,0.0,,,,atp_c + h2o_c + met__D_p --> adp_c + h_c + met__D_c + pi_c
GDPMNH,0.0,111348.107892,48.270290831,2306.762730762135,gdpmann_c + h2o_c --> gdp_c + h_c + man_c
FACOAL60t2pp_num1,0.0,24310.9100232,164.652845272,147.64949845257357,atp_c + coa_c + h_p + hxa_p --> amp_c + h_c + hxcoa_c + ppi_c
IDONt2rpp,0.0,,,,h_p + idon__L_p --> h_c + idon__L_c
ILEabcpp,0.0,,,,atp_c + h2o_c + ile__L_p --> adp_c + h_c + ile__L_c + pi_c
INDOLEt2pp,0.0,,,,h_c + indole_c --> h_p + indole_p
INSt2pp_num1,0.0,,,,h_p + ins_p --> h_c + ins_c
PROabcpp,0.0,,,,atp_c + h2o_c + pro__L_p --> adp_c + h_c + pi_c + pro__L_c
PROt2rpp_num1,0.0,,,,h_p + pro__L_p --> h_c + pro__L_c
MNLtex_num1,0.0,,,,mnl_e --> mnl_p
PROt4pp,0.0,,,,na1_p + pro__L_p --> na1_c + pro__L_c
PTRCabcpp_num1,0.0,,,,atp_c + h2o_c + ptrc_p --> adp_c + h_c + pi_c + ptrc_c
LYXt2pp,0.0,,,,h_p + lyx__L_p --> h_c + lyx__L_c
GDPDPK_num1,0.0,40330.378944,110.7806278388,364.0562409764085,atp_c + gdp_c --> amp_c + h_c + ppgpp_c
OCDCAtexi,0.0,,,,ocdca_e --> ocdca_p
OCDCEAtexi,0.0,,,,ocdcea_e --> ocdcea_p
ASNNpp,0.0,56027.205684,194.6856383644,287.78294153948787,asn__L_p + h2o_p --> asp__L_p + nh4_p
GLUNpp,0.0,20661.0749316,194.6856383644,106.12531620297504,gln__L_p + h2o_p --> glu__L_p + nh4_p
G6Ptex_num1,0.0,,,,g6p_e --> g6p_p
NTD12_num1,0.0,9521.232462,33.5460492724,283.8257460568864,dimp_c + h2o_c --> din_c + pi_c
TUNGSabcpp,0.0,,,,atp_c + h2o_c + tungs_p --> adp_c + h_c + pi_c + tungs_c
NAtex_num1,0.0,,,,na1_e --> na1_p
MOBDabcpp_num1,1.9638152663123733e-06,,,,atp_c + h2o_c + mobd_p --> adp_c + h_c + mobd_c + pi_c
MOBDtex_num1,1.9638152663123733e-06,,,,mobd_e --> mobd_p
NI2uabcpp_num1,0.0,,,,atp_c + h2o_c + ni2_p --> adp_c + h_c + ni2_c + pi_c
FECRMtonex,0.0,,,,fecrm_e + h_p --> fecrm_p + h_c
ARBTNtonex,0.0,,,,arbtn_fe3_e + h_p --> arbtn_fe3_p + h_c
ADOCBLabcpp,0.0,,,,adocbl_p + atp_c + h2o_c --> adocbl_c + adp_c + h_c + pi_c
EX_enter_e,0.0,,,,enter_e --> 
EX_fecrm_un_e,0.0,,,,fecrm_un_e --> 
EX_cgly_e,0.0,,,,cgly_e --> 
NI2tex_num1,9.06160472884138e-05,,,,ni2_e --> ni2_p
NTD10pp_num1,0.0,16669.85067,137.9074561766,120.8770804143694,h2o_p + xmp_p --> pi_p + xtsn_p
NTD1pp_num1,0.0,18062.0880984,80.334696952,224.83545446361865,dump_p + h2o_p --> duri_p + pi_p
EX_chtbs_e,0.0,,,,chtbs_e --> 
EX_gmp_e,0.0,,,,gmp_e --> 
NTD2pp_num1,0.0,28742.7416436,80.334696952,357.78739117885505,h2o_p + ump_p --> pi_p + uri_p
NACtex_num1,0.0,,,,nac_e --> nac_p
NTD3pp_num1,0.0,17056.307249999998,80.334696952,212.31557343386936,dcmp_p + h2o_p --> dcyt_p + pi_p
NTD4pp_num1,0.0,16503.426993600002,137.9074561766,119.67030247056567,cmp_p + h2o_p --> cytd_p + pi_p
NTD5pp_num1,0.0,18932.0878836,137.9074561766,137.2811043614361,dtmp_p + h2o_p --> pi_p + thymd_p
EX_h2o2_e,0.0,,,,h2o2_e --> 
EX_ump_e,0.0,,,,ump_e --> 
EX_pydam_e,0.0,,,,pydam_e --> 
CRNabcpp,0.0,,,,atp_c + crn_p + h2o_c --> adp_c + crn_c + h_c + pi_c
CRNDabcpp,0.0,,,,atp_c + crn__D_p + h2o_c --> adp_c + crn__D_c + h_c + pi_c
DNTPPA_num1,0.0,9493.6061916,22.8570333834,415.3472601783381,ahdt_c + h2o_c --> dhpmp_c + h_c + ppi_c
NTD6pp_num1,0.0,18118.849698,80.334696952,225.54201839867545,damp_p + h2o_p --> dad_2_p + pi_p
NTD7pp_num1,0.0,16283.3190876,137.9074561766,118.0742473180572,amp_p + h2o_p --> adn_p + pi_p
CTBTabcpp,0.0,,,,atp_c + ctbt_p + h2o_c --> adp_c + ctbt_c + h_c + pi_c
NTD9pp_num1,0.0,17969.2640316,137.9074561766,130.29943796939537,gmp_p + h2o_p --> gsn_p + pi_p
NH4tex_num1,3.029862564553713,,,,nh4_e --> nh4_p
PEAMNOpp,0.0,25099.9759116,222.8900853929,112.61145091920513,h2o_p + o2_p + peamn_p --> h2o2_p + nh4_p + pacald_p
GAL1PPpp,0.0,49931.64198,120.6734817634,413.7747684938693,gal1p_p + h2o_p --> gal_p + pi_p
NTPP9,0.0,219466.326204,55.5750900621,3949.005318007884,h2o_c + itp_c --> h_c + imp_c + ppi_c
NTPP10,0.0,25719.4042596,55.5750900621,462.7865511483824,ditp_c + h2o_c --> dimp_c + h_c + ppi_c
NTPP11,0.0,9764.8842132,55.5750900621,175.70613385041122,h2o_c + xtp_c --> h_c + ppi_c + xmp_c
H2O2tex_num1,0.0,,,,h2o2_e --> h2o2_p
ARGDCpp,0.0,11541.4980408,390.4123100074,29.56233127121745,arg__L_p + h_p --> agm_p + co2_p
URIH_num1,0.0,12358.14336,44.6723731017,276.6395089839029,h2o_c + uri_c --> rib__D_c + ura_c
ALLPI,0.0,19201.3374708,42.4583613218,452.2392497738999,all6p_c --> allul6p_c
ALLK,0.0,23208.8621328,44.6697315557,519.5657400327152,all__D_c + atp_c --> adp_c + all6p_c + h_c
ALLULPE,0.0,28397.9726244,34.4843264116,823.5037647378073,allul6p_c --> f6p_c
ADEtex_num1,0.0,,,,ade_e --> ade_p
ADNtex,0.0,,,,adn_e --> adn_p
NADPHQR2,0.0,27721.051182,57.8258193314,479.38881804908885,h_c + nadph_c + q8_c --> nadp_c + q8h2_c
NADPHQR3,0.0,30528.2932092,57.8258193314,527.9353334233317,h_c + mqn8_c + nadph_c --> mql8_c + nadp_c
NADPHQR4,0.0,16809.9537852,57.8258193314,290.69979430575967,2dmmq8_c + h_c + nadph_c --> 2dmmql8_c + nadp_c
GLBRAN2,0.0,221256.500436,111.3899004237,1986.324609272423,glycogen_c --> bglycogen_c
