id,name,metabolites,lower_bound,upper_bound,gene_reaction_rule,annotation,notes,objective_coefficient
4PEPTtex_num1,LalaDgluMdapDala (pentapeptide) transport via diffusion (extracellular to periplasm),"OrderedDict([('LalaDgluMdapDala_e', -1.0), ('LalaDgluMdapDala_p', 1.0)])",0.0,1000.0,b0241,"OrderedDict([('bigg.reaction', '4PEPTtex'), ('metanetx.reaction', 'MNXR95051'), ('sbo', 'SBO:0000185'), ('seed.reaction', 'rxn08009')])","OrderedDict([('reflection', '4PEPTtex_reverse')])",
NAMNPP,Nicotinic acid mononucleotide pyrophosphorylase,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('h2o_c', -1.0), ('nac_c', -1.0), ('nicrnt_c', 1.0), ('pi_c', 1.0), ('ppi_c', 1.0), ('prpp_c', -1.0)])",0.0,1000.0,b0931,"OrderedDict([('bigg.reaction', 'NAMNPP'), ('biocyc', 'META:NICOTINATEPRIBOSYLTRANS-RXN'), ('ec-code', '6.3.4.21'), ('kegg.reaction', 'R01724'), ('metanetx.reaction', 'MNXR101909'), ('rhea', ['36164', '36163', '36166', '36165']), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn08981')])",,
EX_pnto__R_e,(R)-Pantothenate exchange,"OrderedDict([('pnto__R_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'EX_pnto__R_e'), ('metanetx.reaction', 'MNXR103051'), ('rhea', ['34978', '34975', '34976', '34977']), ('sbo', 'SBO:0000627'), ('seed.reaction', 'rxn09166')])",,
SELNPS,Selenophosphate synthase,"OrderedDict([('amp_c', 1.0), ('atp_c', -1.0), ('h2o_c', -1.0), ('pi_c', 1.0), ('seln_c', -1.0), ('selnp_c', 1.0)])",0.0,1000.0,b1764,"OrderedDict([('bigg.reaction', 'SELNPS'), ('biocyc', 'META:2.7.9.3-RXN'), ('ec-code', '2.7.9.3'), ('kegg.reaction', 'R03595'), ('metanetx.reaction', 'MNXR104322'), ('rhea', ['18740', '18739', '18737', '18738']), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn02569')])",,
DHAtex_num1,Dihydroxyacetone transport via diffusion (extracellular to periplasm),"OrderedDict([('dha_e', -1.0), ('dha_p', 1.0)])",0.0,1000.0,b0241,"OrderedDict([('bigg.reaction', 'DHAtex'), ('biocyc', 'META:TRANS-RXN0-559'), ('metanetx.reaction', 'MNXR97367'), ('sbo', 'SBO:0000185'), ('seed.reaction', ['rxn08325', 'rxn08326', 'rxn05532'])])","OrderedDict([('reflection', 'DHAtex_reverse')])",
ETOHtex_num1,Ethanol transport via diffusion (extracellular to periplasm),"OrderedDict([('etoh_e', -1.0), ('etoh_p', 1.0)])",0.0,1000.0,b0241,"OrderedDict([('bigg.reaction', 'ETOHtex'), ('biocyc', 'META:TRANS-RXN0-546'), ('metanetx.reaction', 'MNXR97980'), ('rhea', ['35269', '35267', '35270', '35268']), ('sbo', 'SBO:0000185'), ('seed.reaction', ['rxn09683', 'rxn08428', 'rxn09764'])])","OrderedDict([('reflection', 'ETOHtex_reverse')])",
MTRPOX,N-methyltryptophan oxidase,"OrderedDict([('Nmtrp_c', -1.0), ('fald_c', 1.0), ('h2o2_c', 1.0), ('h2o_c', -1.0), ('o2_c', -1.0), ('trp__L_c', 1.0)])",0.0,1000.0,b1059,"OrderedDict([('bigg.reaction', 'MTRPOX'), ('biocyc', 'META:RXN0-301'), ('ec-code', '1.5.3.2'), ('metanetx.reaction', 'MNXR101761'), ('rhea', ['28009', '28008', '28006', '28007']), ('sabiork', '7294'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn08965')])",,
AGM4PCPpp,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase (periplasmic)","OrderedDict([('ala__D_p', 1.0), ('anhgm3p_p', 1.0), ('anhgm4p_p', -1.0), ('h2o_p', -1.0)])",0.0,1000.0,b2175,"OrderedDict([('bigg.reaction', 'AGM4PCPpp'), ('metanetx.reaction', 'MNXR95547'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn08077')])",,
GTPDPDP,"Guanosine-5'-triphosphate,3'-diphosphate diphosphatase","OrderedDict([('gdptp_c', -1.0), ('h2o_c', -1.0), ('h_c', 1.0), ('pi_c', 1.0), ('ppgpp_c', 1.0)])",0.0,1000.0,b3779,"OrderedDict([('bigg.reaction', 'GTPDPDP'), ('biocyc', 'META:PPPGPPHYDRO-RXN'), ('ec-code', ['3.6.1.40', '3.6.1.11']), ('kegg.reaction', 'R03409'), ('metanetx.reaction', 'MNXR100099'), ('rhea', ['13074', '13073', '13075', '13076']), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn02449')])",,
CRNCAR,Carnitine-CoA racemase,"OrderedDict([('crnDcoa_c', 1.0), ('crncoa_c', -1.0)])",0.0,1000.0,b0036,"OrderedDict([('bigg.reaction', 'CRNCAR'), ('biocyc', 'META:CARNCOARACE-RXN'), ('ec-code', '5.1.1'), ('metanetx.reaction', 'MNXR96896'), ('rhea', ['30541', '30542', '30539', '30540']), ('sbo', 'SBO:0000176')])","OrderedDict([('reflection', 'CRNCAR_reverse')])",
GALabcpp_num1,D-galactose transport via ABC system (periplasm),"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('gal_c', 1.0), ('gal_p', -1.0), ('h2o_c', -1.0), ('h_c', 1.0), ('pi_c', 1.0)])",0.0,1000.0,b2148 and b2149 and b2150,"OrderedDict([('bigg.reaction', 'GALabcpp'), ('biocyc', 'META:ABC-18-RXN'), ('ec-code', '3.6.3.17'), ('metanetx.reaction', 'MNXR100023'), ('sbo', 'SBO:0000185'), ('seed.reaction', ['rxn08573', 'rxn05162'])])",,
GLYCLTt2rpp_num1,"Glycolate transport via proton symport, reversible (periplasm)","OrderedDict([('glyclt_c', 1.0), ('glyclt_p', -1.0), ('h_c', 1.0), ('h_p', -1.0)])",0.0,1000.0,b3603,"OrderedDict([('bigg.reaction', 'GLYCLTt2rpp'), ('biocyc', 'META:TRANS-RXN-105'), ('metanetx.reaction', 'MNXR100334'), ('rhea', ['29414', '29413', '29411', '29412']), ('sbo', 'SBO:0000185'), ('seed.reaction', ['rxn05470', 'rxn08651'])])","OrderedDict([('reflection', 'GLYCLTt2rpp_reverse')])",
GUAt2pp,Guanine transport in via proton symport (periplasm),"OrderedDict([('gua_c', 1.0), ('gua_p', -1.0), ('h_c', 1.0), ('h_p', -1.0)])",0.0,1000.0,b3654,"OrderedDict([('bigg.reaction', 'GUAt2pp'), ('metanetx.reaction', 'MNXR100466'), ('sbo', 'SBO:0000185'), ('seed.reaction', ['rxn08681', 'rxn05203'])])",,
HPPPNt2rpp,"3-(3-hydroxyphenyl)propionate transport via proton symport, reversible (periplasm)","OrderedDict([('3hpppn_c', 1.0), ('3hpppn_p', -1.0), ('h_c', 1.0), ('h_p', -1.0)])",0.0,1000.0,b0353,"OrderedDict([('bigg.reaction', 'HPPPNt2rpp'), ('biocyc', 'META:TRANS-RXN-61'), ('metanetx.reaction', 'MNXR100696'), ('rhea', ['28910', '28907', '28909', '28908']), ('sbo', 'SBO:0000185'), ('seed.reaction', ['rxn08725', 'rxn10134'])])","OrderedDict([('reflection', 'HPPPNt2rpp_reverse')])",
RNDR2_num1,Ribonucleoside-diphosphate reductase (GDP),"OrderedDict([('dgdp_c', 1.0), ('gdp_c', -1.0), ('h2o_c', 1.0), ('trdox_c', 1.0), ('trdrd_c', -1.0)])",0.0,1000.0,b3781 and b2234 and b2235,"OrderedDict([('bigg.reaction', 'RNDR2'), ('biocyc', 'META:GDPREDUCT-RXN'), ('ec-code', '1.17.4.1'), ('kegg.reaction', 'R02019'), ('metanetx.reaction', 'MNXR104062'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn05233')])",,
EX_asn__L_e,L-Asparagine exchange,"OrderedDict([('asn__L_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'EX_asn__L_e'), ('metanetx.reaction', 'MNXR96069'), ('sabiork', '13466'), ('sbo', 'SBO:0000627'), ('seed.reaction', ['rxn05220', 'rxn08162'])])",,
ANHMK,"1,6-anhydrous-N-Acetylmuramate kinase","OrderedDict([('acmum6p_c', 1.0), ('adp_c', 1.0), ('anhm_c', -1.0), ('atp_c', -1.0), ('h2o_c', -1.0), ('h_c', 1.0)])",0.0,1000.0,b1640,"OrderedDict([('bigg.reaction', 'ANHMK'), ('metanetx.reaction', 'MNXR95840'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn08136')])",,
DCAtex_num1,Decanoate transport via diffusion (extracellular to periplasm),"OrderedDict([('dca_e', -1.0), ('dca_p', 1.0)])",0.0,1000.0,b0241,"OrderedDict([('bigg.reaction', 'DCAtex'), ('metanetx.reaction', 'MNXR97181'), ('sbo', 'SBO:0000185')])","OrderedDict([('reflection', 'DCAtex_reverse')])",
DHFR_num1,Dihydrofolate reductase,"OrderedDict([('dhf_c', -1.0), ('h_c', -1.0), ('nadp_c', 1.0), ('nadph_c', -1.0), ('thf_c', 1.0)])",0.0,1000.0,b1606,"OrderedDict([('bigg.reaction', 'DHFR'), ('ec-code', '1.5.1.3'), ('kegg.reaction', 'R00939'), ('metanetx.reaction', 'MNXR97401'), ('reactome.reaction', ['R-SCE-197972', 'R-HSA-197972', 'R-RNO-197972', 'R-CEL-197972', 'R-TGU-197972', 'R-XTR-197972', 'R-SPO-197972', 'R-SSC-197972', 'R-CFA-197972', 'R-GGA-197972', 'R-BTA-197972', 'R-DRE-197972', 'R-DDI-197972', 'R-MMU-197972', 'R-DME-197972']), ('rhea', ['15010', '15009', '15012', '15011']), ('sabiork', '100'), ('sbo', 'SBO:0000176')])","OrderedDict([('reflection', 'DHFR_reverse')])",
EX_cit_e,Citrate exchange,"OrderedDict([('cit_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'EX_cit_e'), ('metanetx.reaction', 'MNXR96756'), ('rhea', ['33184', '33186', '33183', '33185']), ('sbo', 'SBO:0000627'), ('seed.reaction', ['rxn10946', 'rxn08217'])])",,
PRAIi,Phosphoribosylanthranilate isomerase (irreversible),"OrderedDict([('2cpr5p_c', 1.0), ('pran_c', -1.0)])",0.0,1000.0,b1262,"OrderedDict([('bigg.reaction', 'PRAIi'), ('biocyc', 'META:PRAISOM-RXN'), ('ec-code', '5.3.1.24'), ('kegg.reaction', 'R03509'), ('metanetx.reaction', 'MNXR103156'), ('rhea', ['21543', '21542', '21540', '21541']), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn02508')])",,
EX_mal__L_e,L-Malate exchange,"OrderedDict([('mal__L_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'EX_mal__L_e'), ('biocyc', ['META:TRANS-RXN-225', 'META:TRANS-RXN-224']), ('metanetx.reaction', 'MNXR101367'), ('sabiork', '13793'), ('sbo', 'SBO:0000627'), ('seed.reaction', ['rxn10967', 'rxn08868'])])",,
NMNN,NMN nucleosidase,"OrderedDict([('h2o_c', -1.0), ('h_c', 1.0), ('ncam_c', 1.0), ('nmn_c', -1.0), ('r5p_c', 1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'NMNN'), ('ec-code', '3.2.2.14'), ('metanetx.reaction', 'MNXR101971'), ('sbo', 'SBO:0000176')])",,
XAND,Xanthine dehydrogenase,"OrderedDict([('h2o_c', -1.0), ('h_c', 1.0), ('nad_c', -1.0), ('nadh_c', 1.0), ('urate_c', 1.0), ('xan_c', -1.0)])",0.0,1000.0,b2866 and b2867 and b2868,"OrderedDict([('bigg.reaction', 'XAND'), ('biocyc', 'META:RXN0-901'), ('ec-code', '1.17.1.4'), ('kegg.reaction', 'R02103'), ('metanetx.reaction', 'MNXR105225'), ('reactome.reaction', 'R-GGA-421158'), ('rhea', ['16669', '16670', '16672', '16671']), ('sabiork', '196'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn01522')])",,
EX_no2_e,Nitrite exchange,"OrderedDict([('no2_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'EX_no2_e'), ('biocyc', 'META:TRANS-RXN-137'), ('metanetx.reaction', 'MNXR101912'), ('rhea', ['28983', '28986', '28984', '28985']), ('sbo', 'SBO:0000627'), ('seed.reaction', ['rxn10823', 'rxn08999'])])",,
HACD3_num1,3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA),"OrderedDict([('3hocoa_c', 1.0), ('3oocoa_c', -1.0), ('h_c', -1.0), ('nad_c', 1.0), ('nadh_c', -1.0)])",0.0,1000.0,b3846,"OrderedDict([('bigg.reaction', 'HACD3'), ('ec-code', ['1.1.1.35', '1.1.1.211']), ('kegg.reaction', 'R04745'), ('metanetx.reaction', 'MNXR100544'), ('reactome.reaction', ['R-BTA-77331', 'R-DDI-77331', 'R-CFA-77331', 'R-GGA-77331', 'R-HSA-77331', 'R-RNO-77331', 'R-MMU-77331', 'R-TGU-77331', 'R-CEL-77331', 'R-SSC-77331', 'R-OSA-77331', 'R-XTR-77331', 'R-ATH-77331', 'R-DRE-77331']), ('rhea', ['31196', '31198', '31197', '31195']), ('sabiork', '4401'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn03246')])","OrderedDict([('reflection', 'HACD3_reverse')])",
TYRTA_num1,Tyrosine transaminase,"OrderedDict([('34hpp_c', 1.0), ('akg_c', -1.0), ('glu__L_c', 1.0), ('tyr__L_c', -1.0)])",0.0,1000.0,b4054,"OrderedDict([('bigg.reaction', 'TYRTA'), ('biocyc', 'META:TYROSINE-AMINOTRANSFERASE-RXN'), ('ec-code', ['2.6.1.57', '2.6.1.5', '2.6.1.9', '2.6.1.1']), ('kegg.reaction', 'R00734'), ('metanetx.reaction', 'MNXR105000'), ('reactome.reaction', ['R-BTA-517444', 'R-ATH-517444', 'R-DRE-71155', 'R-MMU-517444', 'R-TGU-517444', 'R-CEL-517444', 'R-DRE-517444', 'R-BTA-71155', 'R-HSA-517444', 'R-CFA-71155', 'R-OSA-71155', 'R-XTR-71155', 'R-SSC-71155', 'R-SCE-71155', 'R-SCE-517444', 'R-XTR-517444', 'R-HSA-71155', 'R-DME-517444', 'R-RNO-517444', 'R-ATH-71155', 'R-GGA-517444', 'R-MMU-71155', 'R-DDI-517444', 'R-CFA-517444', 'R-OSA-517444', 'R-SSC-517444', 'R-DME-71155', 'R-GGA-71155', 'R-TGU-71155', 'R-CEL-71155', 'R-DDI-71155', 'R-RNO-71155']), ('rhea', ['15094', '15096', '15093', '15095']), ('sabiork', '1097'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00527')])","OrderedDict([('reflection', 'TYRTA_reverse')])",
SHKK_num1,Shikimate kinase,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('h_c', 1.0), ('skm5p_c', 1.0), ('skm_c', -1.0)])",0.0,1000.0,b3390,"OrderedDict([('bigg.reaction', 'SHKK'), ('biocyc', 'META:SHIKIMATE-KINASE-RXN'), ('ec-code', '2.7.1.71'), ('kegg.reaction', 'R02412'), ('metanetx.reaction', 'MNXR104379'), ('reactome.reaction', 'R-MTU-964939'), ('rhea', ['13121', '13122', '13123', '13124']), ('sabiork', '2350'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn01739')])",,
DCYTtex,Deoxycytidine transport via diffusion (extracellular to periplasm),"OrderedDict([('dcyt_e', -1.0), ('dcyt_p', 1.0)])",0.0,1000.0,b0411,"OrderedDict([('bigg.reaction', 'DCYTtex'), ('metanetx.reaction', 'MNXR97208'), ('sbo', 'SBO:0000185'), ('seed.reaction', ['rxn08317', 'rxn11014'])])","OrderedDict([('reflection', 'DCYTtex_reverse')])",
EX_gam_e,D-Glucosamine exchange,"OrderedDict([('gam_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'EX_gam_e'), ('metanetx.reaction', 'MNXR100035'), ('sbo', 'SBO:0000627'), ('seed.reaction', 'rxn08593')])",,
ACACtex_num1,Acetoacetate transport via diffusion (extracellular to periplasm),"OrderedDict([('acac_e', -1.0), ('acac_p', 1.0)])",0.0,1000.0,b0241,"OrderedDict([('bigg.reaction', 'ACACtex'), ('biocyc', 'META:TRANS-RXN0-281'), ('metanetx.reaction', 'MNXR95208'), ('rhea', ['29753', '29752', '29754', '29751']), ('sabiork', '12476'), ('sbo', 'SBO:0000185'), ('seed.reaction', ['rxn08030', 'rxn10960', 'rxn13115'])])","OrderedDict([('reflection', 'ACACtex_reverse')])",
ACNAMtex_num1,N-acetylneuraminate transport via diffusion (extracellular to periplasm),"OrderedDict([('acnam_e', -1.0), ('acnam_p', 1.0)])",0.0,1000.0,b4311,"OrderedDict([('bigg.reaction', 'ACNAMtex'), ('biocyc', ['META:RXN-15315', 'META:RXN0-0']), ('metanetx.reaction', 'MNXR95292'), ('rhea', ['28994', '28993', '28992', '28991']), ('sbo', 'SBO:0000185'), ('seed.reaction', 'rxn08051')])","OrderedDict([('reflection', 'ACNAMtex_reverse')])",
ARBTNabcpp,Aerobactin transport via ABC system (periplasm),"OrderedDict([('adp_c', 1.0), ('arbtn_fe3_c', 1.0), ('arbtn_fe3_p', -1.0), ('atp_c', -1.0), ('h2o_c', -1.0), ('h_c', 1.0), ('pi_c', 1.0)])",0.0,1000.0,b0151 and b0153 and b0152,"OrderedDict([('bigg.reaction', 'ARBTNabcpp'), ('metanetx.reaction', 'MNXR95927'), ('sbo', 'SBO:0000185'), ('seed.reaction', ['rxn13800', 'rxn08143'])])",,
EX_inost_e,Myo-Inositol exchange,"OrderedDict([('inost_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'EX_inost_e'), ('metanetx.reaction', 'MNXR100848'), ('rhea', ['32867', '32869', '32870', '32868']), ('sbo', 'SBO:0000627'), ('seed.reaction', 'rxn08755')])",,
EX_mobd_e,Molybdate exchange,"OrderedDict([('mobd_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'EX_mobd_e'), ('metanetx.reaction', 'MNXR101690'), ('rhea', ['34909', '34907', '34910', '34908']), ('sbo', 'SBO:0000627'), ('seed.reaction', 'rxn08956')])","OrderedDict([('reflection', 'EX_mobd_e_reverse')])",
NNDMBRT,Nicotinate-nucleotide dimethylbenzimidazole phosphoribosyltransferase,"OrderedDict([('5prdmbz_c', 1.0), ('dmbzid_c', -1.0), ('h_c', 1.0), ('nac_c', 1.0), ('nicrnt_c', -1.0)])",0.0,1000.0,b1991,"OrderedDict([('bigg.reaction', 'NNDMBRT'), ('biocyc', 'META:DMBPPRIBOSYLTRANS-RXN'), ('ec-code', '2.4.2.21'), ('kegg.reaction', 'R04148'), ('metanetx.reaction', 'MNXR101979'), ('rhea', ['11196', '11197', '11199', '11198']), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn02897')])",,
DGSNtex_num1,Deoxyguanosine transport via diffusion (extracellular to periplasm),"OrderedDict([('dgsn_e', -1.0), ('dgsn_p', 1.0)])",0.0,1000.0,b0241,"OrderedDict([('bigg.reaction', 'DGSNtex'), ('metanetx.reaction', 'MNXR97324'), ('sbo', 'SBO:0000185'), ('seed.reaction', 'rxn08324')])","OrderedDict([('reflection', 'DGSNtex_reverse')])",
THRA2_num1,L-allo-Threonine Aldolase,"OrderedDict([('acald_c', 1.0), ('athr__L_c', -1.0), ('gly_c', 1.0)])",0.0,1000.0,b2551,"OrderedDict([('bigg.reaction', 'THRA2'), ('sbo', 'SBO:0000176')])",,
ASO3t8pp,Arsenite efflux via ATP hydrolysis (periplasm),"OrderedDict([('adp_c', 1.0), ('aso3_c', -1.0), ('aso3_p', 1.0), ('atp_c', -1.0), ('h2o_c', -1.0), ('h_c', 1.0), ('pi_c', 1.0)])",0.0,1000.0,b3502,"OrderedDict([('bigg.reaction', 'ASO3t8pp'), ('biocyc', 'META:3.6.3.16-RXN'), ('ec-code', '3.6.3.16'), ('metanetx.reaction', 'MNXR96072'), ('rhea', ['11351#1', '11348#1', '11350#1', '11349#1']), ('sbo', 'SBO:0000185'), ('seed.reaction', 'rxn08163')])",,
H2Stex_num1,H2s transport via diffusion (extracellular to periplasm),"OrderedDict([('h2s_e', -1.0), ('h2s_p', 1.0)])",0.0,1000.0,b1377,"OrderedDict([('bigg.reaction', 'H2Stex'), ('biocyc', 'META:TRANS-RXN-310'), ('metanetx.reaction', 'MNXR100494'), ('sbo', 'SBO:0000185'), ('seed.reaction', ['rxn08690', 'rxn08689', 'rxn10541'])])","OrderedDict([('reflection', 'H2Stex_reverse')])",
PPK,Polyphosphate kinase,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('pi_c', -1.0), ('ppi_c', 1.0)])",0.0,1000.0,b2501,"OrderedDict([('bigg.reaction', 'PPK'), ('sbo', 'SBO:0000176')])",,
EX_so4_e,Sulfate exchange,"OrderedDict([('so4_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'EX_so4_e'), ('metanetx.reaction', 'MNXR104469'), ('reactome.reaction', ['R-TGU-8875871', 'R-DRE-8875871', 'R-GGA-8875871', 'R-BTA-8875871', 'R-SCE-8875871', 'R-HSA-8875871', 'R-SPO-8875871', 'R-XTR-8875871', 'R-MMU-8875871', 'R-RNO-8875871', 'R-SSC-8875871', 'R-PFA-8875871', 'R-ATH-8875871', 'R-CFA-8875871', 'R-OSA-8875871', 'R-DME-8875871']), ('rhea', ['34983', '34984', '34986', '34985']), ('sbo', 'SBO:0000627'), ('seed.reaction', ['rxn09261', 'rxn05238'])])","OrderedDict([('reflection', 'EX_so4_e_reverse')])",
SADH,Succinylarginine dihydrolase,"OrderedDict([('co2_c', 1.0), ('h2o_c', -2.0), ('h_c', -2.0), ('nh4_c', 2.0), ('sucarg_c', -1.0), ('sucorn_c', 1.0)])",0.0,1000.0,b1745,"OrderedDict([('bigg.reaction', 'SADH'), ('biocyc', 'META:SUCCARGDIHYDRO-RXN'), ('ec-code', '3.5.3.23'), ('kegg.reaction', 'R04189'), ('metanetx.reaction', 'MNXR104239'), ('rhea', ['19534', '19535', '19533', '19536']), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn02927')])",,
GLUSy,Glutamate synthase (NADPH),"OrderedDict([('akg_c', -1.0), ('gln__L_c', -1.0), ('glu__L_c', 2.0), ('h_c', -1.0), ('nadp_c', 1.0), ('nadph_c', -1.0)])",0.0,1000.0,b3213 and b3212,"OrderedDict([('bigg.reaction', 'GLUSy'), ('biocyc', 'META:GLUTAMATESYN-RXN'), ('ec-code', '1.4.1.13'), ('kegg.reaction', 'R00114'), ('metanetx.reaction', 'MNXR100291'), ('rhea', ['15503', '15501', '15504', '15502']), ('sabiork', '694'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00085')])",,
GUAPRT_num1,Guanine phosphoribosyltransferase,"OrderedDict([('gmp_c', 1.0), ('gua_c', -1.0), ('ppi_c', 1.0), ('prpp_c', -1.0)])",0.0,1000.0,b0125,"OrderedDict([('bigg.reaction', 'GUAPRT'), ('biocyc', 'META:GUANPRIBOSYLTRAN-RXN'), ('ec-code', ['2.4.2.8', '2.4.2.7', '2.4.2.22']), ('kegg.reaction', 'R01229'), ('metanetx.reaction', 'MNXR100409'), ('rhea', ['25427', '25426', '25424', '25425']), ('sabiork', '195'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00915')])",,
EX_phe__L_e,L-Phenylalanine exchange,"OrderedDict([('phe__L_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'EX_phe__L_e'), ('biocyc', 'META:RXN66-445'), ('metanetx.reaction', 'MNXR102637'), ('rhea', ['27952', '27951', '27950', '27953']), ('sabiork', ['13470', '14018']), ('sbo', 'SBO:0000627'), ('seed.reaction', ['rxn11018', 'rxn09118'])])",,
EX_thr__L_e,L-Threonine exchange,"OrderedDict([('thr__L_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'EX_thr__L_e'), ('metanetx.reaction', 'MNXR104852'), ('rhea', ['35022', '35020', '35019', '35021']), ('sabiork', '13464'), ('sbo', 'SBO:0000627'), ('seed.reaction', ['rxn09307', 'rxn13117', 'rxn10898'])])",,
EX_uri_e,Uridine exchange,"OrderedDict([('uri_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'EX_uri_e'), ('metanetx.reaction', 'MNXR105165'), ('sbo', 'SBO:0000627'), ('seed.reaction', ['rxn10987', 'rxn09372'])])",,
OMCDC,2-Oxo-4-methyl-3-carboxypentanoate decarboxylation,"OrderedDict([('3c4mop_c', -1.0), ('4mop_c', 1.0), ('co2_c', 1.0), ('h_c', -1.0)])",0.0,1000.0,s0001,"OrderedDict([('bigg.reaction', 'OMCDC'), ('biocyc', 'META:RXN-7800'), ('ec-code', '1.1.1.85'), ('kegg.reaction', 'R01652'), ('metanetx.reaction', 'MNXR102180'), ('rhea', ['25078', '25080', '25081', '25079']), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn01208')])",,
ABUTD,Aminobutyraldehyde dehydrogenase,"OrderedDict([('4abut_c', 1.0), ('4abutn_c', -1.0), ('h2o_c', -1.0), ('h_c', 2.0), ('nad_c', -1.0), ('nadh_c', 1.0)])",0.0,1000.0,b1444,"OrderedDict([('bigg.reaction', 'ABUTD'), ('biocyc', 'META:AMINOBUTDEHYDROG-RXN'), ('ec-code', ['1.2.1.19', '1.2.1.3', '1.2.1.-']), ('kegg.reaction', 'R02549'), ('metanetx.reaction', 'MNXR95191'), ('rhea', ['19108', '19105', '19107', '19106']), ('sabiork', '2464'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn01851')])",,
E4PD_num1,Erythrose 4-phosphate dehydrogenase,"OrderedDict([('4per_c', 1.0), ('e4p_c', -1.0), ('h2o_c', -1.0), ('h_c', 2.0), ('nad_c', -1.0), ('nadh_c', 1.0)])",0.0,1000.0,b2927,"OrderedDict([('bigg.reaction', 'E4PD'), ('biocyc', 'META:ERYTH4PDEHYDROG-RXN'), ('ec-code', '1.2.1.72'), ('kegg.reaction', 'R01825'), ('metanetx.reaction', 'MNXR97842'), ('rhea', ['12058', '12057', '12059', '12056']), ('sabiork', '1909'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn01331')])",,
IG3PS,Imidazole-glycerol-3-phosphate synthase,"OrderedDict([('aicar_c', 1.0), ('eig3p_c', 1.0), ('gln__L_c', -1.0), ('glu__L_c', 1.0), ('h_c', 1.0), ('prlp_c', -1.0)])",0.0,1000.0,b2023 and b2025,"OrderedDict([('bigg.reaction', 'IG3PS'), ('biocyc', 'META:GLUTAMIDOTRANS-RXN'), ('ec-code', ['4.1.3.-', '4.3.2.M2', '2.4.2.-']), ('kegg.reaction', 'R04558'), ('metanetx.reaction', 'MNXR100811'), ('rhea', ['24796', '24794', '24793', '24795']), ('sabiork', '4234'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn03135')])",,
