,MW,kcat,type,kcat_MW
ACACCT_num1,122.7945111241,27123.738894,proteozyme,220.88722570496572
ACACCT_num2,76.0267316579,27123.738894,proteozyme,356.7658151615617
BUTCT,122.7945111241,46897.97526,proteozyme,381.9224070414958
2DGULRx,93.498841443,20094.4938024,proteozyme,214.91703525171772
G1PTT_num1,172.7230324566,10400.1490008,proteozyme,60.21286711378946
G1PTT_num2,172.9388467648,10400.1490008,proteozyme,60.137726111614434
TDPGDH_num1,52.5057456874,24678.1040076,proteozyme,470.0076855307303
TDPGDH_num2,107.1367472091,24678.1040076,proteozyme,230.34210623769889
UDPGALM,56.7482006407,651626.1936,proteozyme,11482.763968601526
TDPDRE,28.0929737873,18583.9109568,proteozyme,661.5145515567041
TDPDRR,43.1814845393,14288.3124372,proteozyme,330.8897919939744
G3PD6,196.0337513655,29478.2532336,proteozyme,150.37335677282704
ALLTN,262.0498161472,150250.763412,proteozyme,573.3671773598969
UAPGR,49.992578823,154800.0,proteozyme,3096.4595874934425
NDPK7_num1,31.151751978,9921.0209256,proteozyme,318.4739315017154
NDPK7_num2,81.6948289874,9921.0209256,proteozyme,121.44001093545522
GLYAT,113.8956709593,10460.2788396,proteozyme,91.84088167264868
ADNUC,43.0054254984,45598.686588,proteozyme,1060.300789017806
GMHEPPA,28.1248044166,283427.04726,proteozyme,10077.476204339891
S7PI,109.966239207,32534.6772024,proteozyme,295.86059718889595
TRPS3,189.4177352539,35739.907218,proteozyme,188.6830035745776
CRNBTCT,119.2043859555,21541.3236144,proteozyme,180.7091529538314
CRNCBCT,119.2043859555,22065.2700048,proteozyme,185.10451463620768
CRNCDH,37.2328550246,39436.119972,proteozyme,1059.1752887589278
FADRx,34.659725066,1090800.0,proteozyme,31471.686458068223
GTPDPK,110.7806278388,21923.859366,proteozyme,197.9033680681249
NDPK2_num1,31.151751978,24602.1421464,proteozyme,789.7514773414521
NDPK2_num2,81.6948289874,24602.1421464,proteozyme,301.1468712443777
NDPK3_num1,81.6948289874,17317.196812799997,proteozyme,211.9742097198205
NDPK3_num2,31.151751978,17317.196812799997,proteozyme,555.8980061548305
NDPK4_num1,31.151751978,12739.5992916,proteozyme,408.95289936171054
NDPK4_num2,81.6948289874,12739.5992916,proteozyme,155.94131782275792
FCLT_num1,43.6545854279,9524.0366892,proteozyme,218.1680709104412
FCLT_num2,47.3951466412,9524.0366892,proteozyme,200.94961961613336
FCLT_num3,123.5033699932,9524.0366892,proteozyme,77.11560170159233
HBZOPT,42.9407076214,9461.0360196,proteozyme,220.32790197628188
PNTK,96.0460842508,972.0,proteozyme,10.120141883784337
DPCOAK,29.8781305741,2304.0,proteozyme,77.11325828387783
HETZK,72.2176223259,11542.7660184,proteozyme,159.83309401007963
KDOPS,162.8919907084,2592.0,proteozyme,15.912384572916489
KDOPP,105.6465190332,36000.0,proteozyme,340.75897937239944
AST,50.7915144107,24033.0715776,proteozyme,473.1709982748037
SGDS,47.2839375546,76498.534296,proteozyme,1617.8545665251577
CYNTAH,225.1764755332,18024.1192872,proteozyme,80.04441513937154
GSPMDA,186.3133903947,57857.653224,proteozyme,310.53942554225483
GSPMDS,186.3133903947,48666.399768,proteozyme,261.20720397445143
GUAD,66.3611827666,142271.654904,proteozyme,2143.8987217028057
TMAOR1_num1,190.3152005074,100063.902564,proteozyme,525.7798762117754
TMAOR1_num2,307.7962418525,100063.902564,proteozyme,325.09786981724073
TMAOR2,190.3152005074,42205.229244,proteozyme,221.76488862411676
DGK1,62.3212023142,9898.2875808,proteozyme,158.82696760079446
DTMPK,31.4120763363,64800.0,proteozyme,2062.900882649285
NDPK1_num1,31.151751978,22045.908312,proteozyme,707.6940111608897
NDPK1_num2,81.6948289874,22045.908312,proteozyme,269.8568389854907
TRDR_num1,107.0522177371,36024.440868,proteozyme,336.5127937514495
TRDR_num2,112.00260701839998,36024.440868,proteozyme,321.63930668222605
PGMT_num1,77.08163305299999,111558.851496,proteozyme,1447.2818890499384
PGMT_num2,27.4453987854,111558.851496,proteozyme,4064.756076903697
PGMT_num3,31.123883667700003,111558.851496,proteozyme,3584.3486849867145
FRUK,89.1672343122,65166.150672,proteozyme,730.8306820847965
RHCCE,25.6443927226,10.8,proteozyme,0.421144696886588
KG6PDC_num1,62.2826357426,21707.1808668,proteozyme,348.5270109073555
KG6PDC_num2,30.9652588304,21707.1808668,proteozyme,701.0172589124
X5PL3E_num1,42.2734531018,240986.035692,proteozyme,5700.647049382838
X5PL3E_num2,42.8659518696,240986.035692,proteozyme,5621.851963653798
DOGULNR,96.6084693942,22733.5857804,proteozyme,235.31669555428064
BETALDHx,279.5343411985,18043.3770192,proteozyme,64.54797983617772
BETALDHy,279.5343411985,21034.4954004,proteozyme,75.24834090228364
MLTG3,91.187488693,48889.468872,proteozyme,536.1422885171855
DKGLCNR1_num1,41.0887197208,10057.9245012,proteozyme,244.78554137349917
DKGLCNR1_num2,38.8793306464,10057.9245012,proteozyme,258.6959274755751
NADTRHD,544.7965414363,94594.506516,proteozyme,173.63272216562046
FMNRx2_num1,56.1417016791,17654.4543744,proteozyme,314.46240221415064
FMNRx2_num2,34.659725066,17654.4543744,proteozyme,509.36510144791697
FMNRx2_num3,700.2192966750999,17654.4543744,proteozyme,25.212750431514635
ACPS1_num1,37.1197968558,21613.678934400003,proteozyme,582.2682440413962
ACPS1_num2,28.7503225094,21613.678934400003,proteozyme,751.7717036855273
GMPS2,155.0038060432,18000.0,proteozyme,116.12618076606034
AMPN,427.8901684235,22311.5713668,proteozyme,52.14322041799602
GSNK,127.9797338448,69004.440756,proteozyme,539.1825618240551
ADCS,94.7541041022,9527.5776852,proteozyme,100.55055425276072
ADCL_num1,78.4936714673,5040.0,proteozyme,64.20899807317122
ADCL_num2,24.800022543700003,5040.0,proteozyme,203.22562171542543
DHAPT,476.5800688366,81935.075412,proteozyme,171.9230004981434
UMPK_num1,32.6842448899,42025.02012,proteozyme,1285.7883136528103
UMPK_num2,205.8049620968,42025.02012,proteozyme,204.1982841027594
DDPGALA,28.2521269338,25821.7244856,proteozyme,913.9745317619844
DURIK1,30.9808439518,13012.2112788,proteozyme,420.008289607746
UPPRT,89.2839906454,10152.7356672,proteozyme,113.71283467293226
CTPS2,318.9621888718,39600.0,proteozyme,124.15264687036736
NTD1_num1,59.9843586453,18381.7415772,proteozyme,306.4422458176984
NTD1_num2,35.5293220092,18381.7415772,proteozyme,517.3682056876912
NTD1_num3,33.4163493638,18381.7415772,proteozyme,550.082277901756
NTD1_num4,26.7527854242,18381.7415772,proteozyme,687.0963634527667
NTD7_num1,33.5460492724,9716.8293432,proteozyme,289.6564440211002
NTD7_num2,35.5293220092,9716.8293432,proteozyme,273.4876094929116
NTD7_num3,26.7527854242,9716.8293432,proteozyme,363.2081366155751
NTD7_num4,35.8762890763,9716.8293432,proteozyme,270.8426538356491
PAPPT3,52.6655592204,252000.0,proteozyme,4784.9107411051245
UAGPT3,49.944634763100005,61200.0,proteozyme,1225.35684343848
F6PA_num1,303.7357894186,67194.11527200001,proteozyme,221.22554408428635
F6PA_num2,31.1110721696,67194.11527200001,proteozyme,2159.813551448681
AGMHE,230.4297180634,38346.394536,proteozyme,166.41253939932108
GMHEPAT,134.8525082276,348334.278408,proteozyme,2583.076006418004
IDOND,49.0622263218,19621.3609044,proteozyme,399.9280582112836
IDOND2,49.0622263218,9973.965222,proteozyme,203.292144889239
GLYCLTDx_num1,93.498841443,20514.6863568,proteozyme,219.411128952934
GLYCLTDx_num2,46.680608448200005,20514.6863568,proteozyme,439.4691294472843
HPYRRy_num1,46.680608448200005,9598.2504804,proteozyme,205.61536791130035
HPYRRy_num2,93.498841443,9598.2504804,proteozyme,102.65635736514888
ACODA,111.8624730031,93600.0,proteozyme,836.7417373063628
ADA,48.0728352675,38158.03206,proteozyme,793.7545569690378
DADA,48.0728352675,37137.100104000005,proteozyme,772.517366561627
ADD,168.3704250351,96905.201868,proteozyme,575.5476464931312
ADSS,125.0638632927,11880.0,proteozyme,94.99146825646989
AGDC,216.3378626172,112916.461176,proteozyme,521.9449790710031
ASNN_num1,196.146677457,12284.9050788,proteozyme,62.631216791796746
ASNN_num2,44.105893562,12284.9050788,proteozyme,278.53205289971083
ASNS2_num1,96.8141137503,68400.0,proteozyme,706.5085590352579
ASNS2_num2,165.516630814,68400.0,proteozyme,413.25152441548175
ASPCT_num1,408.4991075467,34791.8977548,proteozyme,85.17007041642694
ASPCT_num2,272.8244181266,34791.8977548,proteozyme,127.52486743563897
DMPPS,91.8585734543,396.0,proteozyme,4.310974850888704
MCOATA,54.2265808291,17706.542979600003,proteozyme,326.52884819354153
IPDPS,91.8585734543,3096.0,proteozyme,33.703985197857136
DAPE,79.79727441829999,302400.0,proteozyme,3789.6031187081535
DHDPRy,151.9237634072,50400.0,proteozyme,331.7453364087177
HSK,88.81841816289999,291600.0,proteozyme,3283.1028296989325
SDPTA_num1,120.9158436089,17299.4671152,proteozyme,143.07030905854486
SDPTA_num2,59.0769875943,17299.4671152,proteozyme,292.8292016851097
SDPTA_num3,115.6124117047,17299.4671152,proteozyme,149.63330372682404
SDPTA_num4,115.34403063109998,17299.4671152,proteozyme,149.9814686598578
SDPTA_num5,105.0894169818,17299.4671152,proteozyme,164.61664373108115
THRS,62.2266349674,14400.0,proteozyme,231.4121598820832
HSST,94.3753064058,28800.0,proteozyme,305.16457214098165
PPNDH,113.8806141471,43200.0,proteozyme,379.3446349367101
DDPA_num1,200.8078174513,140719.95882,proteozyme,700.7693256470329
DDPA_num2,102.5024189067,140719.95882,proteozyme,1372.8452491261348
DDPA_num3,102.3204163873,140719.95882,proteozyme,1375.2871986696307
NMNDA,46.4428693082,23640.8414868,proteozyme,509.0305969236476
NNAM,30.855898826,11380.4996112,proteozyme,368.8273569788376
P5CD,379.8943342219,176721.46704000002,proteozyme,465.18584543241775
SPMDAT1,115.631034604,32401.6508556,proteozyme,280.21586909228546
SPMDAT2,115.631034604,18678.296955600003,proteozyme,161.533597096725
TDPADGAT,31.9896503692,27137.4725196,proteozyme,848.3203850745512
MALS_num1,79.6077434928,84473.14158,proteozyme,1061.1171460680837
MALS_num2,106.3070376105,84473.14158,proteozyme,794.6147637892276
TRE6PP,38.5339485069,9577.3016412,proteozyme,248.5419224423643
ADPRDP_num1,55.8770187699,13031.0876844,proteozyme,233.21014562465567
ADPRDP_num2,62.51694087279999,13031.0876844,proteozyme,208.44090421688557
ARAI,444.3660191347,46557.956196,proteozyme,104.77388952166244
M1PD,54.335280447,21414.0570372,proteozyme,394.1096256618719
G3PD2,96.0508390336,68644.243476,proteozyme,714.6657350071375
GALS3,133.81292779929998,27314.257644,proteozyme,204.1227114092252
FCI,514.91656178,38459.23614,proteozyme,74.69022943649625
FCLK,69.02187997509999,68205.67506,proteozyme,988.1746930771164
FCLPA_num1,30.6716509925,24648.80337,proteozyme,803.6347106331922
FCLPA_num2,125.6072293049,24648.80337,proteozyme,196.237139425847
ACCOAL_num1,95.2192803528,16156.300716000002,proteozyme,169.67467781880703
ACCOAL_num2,91.5967962457,16156.300716000002,proteozyme,176.3849979278992
GALUi,174.036937437,10809.5720112,proteozyme,62.11079194100953
U23GAAT,142.7959012042,129600.0,proteozyme,907.5890757863584
UAAGDS,70.4547866028,28800.0,proteozyme,408.7727944215424
UAMAS,141.6554137187,50400.0,proteozyme,355.7929674335254
UAMAGS,62.0414625928,104400.0,proteozyme,1682.7456290837954
UGLYCH,23.9979171008,91417.259448,proteozyme,3809.383083707398
OP4ENH,190.7848673862,26173.1842956,proteozyme,137.18689880481148
HOPNTAL,48.1691196192,50874.6321,proteozyme,1056.1669489122569
3HPPPNH,82.13319354609999,16534.680408,proteozyme,201.31544499994828
AKGDH,3194.145536243,112697.453412,proteozyme,35.28250423572007
HPYRRx_num1,46.680608448200005,16797.0315348,proteozyme,359.82889026476886
HPYRRx_num2,93.498841443,16797.0315348,proteozyme,179.64962212970337
GLYCDx,409.0402282448,19473.1679484,proteozyme,47.60697506932207
ASP1DC,18.2711774501,252.00000000000003,proteozyme,13.792214578848654
UGMDDS,62.6669806856,57600.0,proteozyme,919.1443303927308
UHGADA,44.8480359107,75600.0,proteozyme,1685.692549625414
UAGAAT,122.6727358535,17547.8969268,proteozyme,143.04643003769235
ATPPRT,88.1396729182,7920.000000000001,proteozyme,89.85737906413986
HISTD,121.8026106011,11160.0,proteozyme,91.623651947401
IGPDH,106.3960577107,13680.0,proteozyme,128.57619252394755
PRPPS,45.1946067459,28800.0,proteozyme,637.2441774285977
PRATPP,30.0552462334,79200.0,proteozyme,2635.147267966352
PRMICI,34.3831551998,36000.0,proteozyme,1047.024328942604
SERAT,232.3237065454,136800.0,proteozyme,588.8335806714884
CYSS_num1,86.2838547759,47534.803056,proteozyme,550.9119079051274
CYSS_num2,91.1059969989,47534.803056,proteozyme,521.7527344174055
BPNT,35.893194970699994,79200.0,proteozyme,2206.5463959018366
PAPSR_num1,94.4437224472,32950.3299696,proteozyme,348.8885138768361
PAPSR_num2,89.49333316590001,32950.3299696,proteozyme,368.1875375958752
ASPK_num1,234.8009483842,631361.1826800001,proteozyme,2688.920922273775
ASPK_num2,470.830479813,631361.1826800001,proteozyme,1340.9522317475244
ASPK_num3,128.1988500855,631361.1826800001,proteozyme,4924.858391935066
ASAD,105.7091236734,29917.3384116,proteozyme,283.01566952757
DAPDC,121.9793300285,144000.0,proteozyme,1180.527880964381
METAT,221.6342944245,21.6,proteozyme,0.0974578417843095
ASCBPL,317.466281372,38846.755548,proteozyme,122.36498118828634
ACBIPGT,53.264133544,9379.7081928,proteozyme,176.0980150939973
ADOCBLS,34.8493880688,10035.970578,proteozyme,287.98125689285814
ADOCBIK,53.264133544,9323.0587836,proteozyme,175.03445871129176
TMPK,46.3205657284,828.0,proteozyme,17.87542934719249
HPPPNDO,180.6608781866,35492.100588,proteozyme,196.4570356584956
DHCINDO,180.6608781866,19495.6076844,proteozyme,107.91272510179812
HKNDDH,84.3642432977,38363.581008,proteozyme,454.7374516550177
HKNTDH,84.3642432977,18327.2929704,proteozyme,217.2400563794265
GLYCK2,51.6479036239,61745.26024799999,proteozyme,1195.5037071326058
ENTCS,30.719330897800003,10772.5312188,proteozyme,350.6759719031343
SULR,1038.3272788776,71599.206456,proteozyme,68.95629914818048
MANPGH,132.097111595,80637.61096800001,proteozyme,610.4418938033177
URDGLYCD,100.2918411366,10345.5397188,proteozyme,103.15435035945862
CBMKr,41.7946728893,37048.79484,proteozyme,886.4477762065458
AMANAPEr,31.7958929701,25940.030655600003,proteozyme,815.8296003824554
ACM6PH,82.46880196539999,12910.8567708,proteozyme,156.55443589706547
NNATr,32.395920143999994,15120.0,proteozyme,466.7254374251924
CYTDH_num1,44.6723731017,23757.8745672,proteozyme,531.8247703813142
CYTDH_num2,178.293788816,23757.8745672,proteozyme,133.2512743431474
CYTDH_num3,43.0054254984,23757.8745672,proteozyme,552.4390072151223
PSERT,105.0894169818,29880.000000000004,proteozyme,284.32929649971123
AIRC2,104.2383108606,554400.0,proteozyme,5318.581963030947
GAPD,187.72146649,104400.0,proteozyme,556.1431090011297
HEX1,45.8613329563,47562.856704,proteozyme,1037.1014891634602
GND,135.9902220898,79200.0,proteozyme,582.3948132660666
TAUDO,171.2225022513,9422.3609676,proteozyme,55.02992214055475
ME2,653.1279278239,502505.16516,proteozyme,769.3824498276366
ARGSL,66.4589199686,39600.0,proteozyme,595.8568092696947
CBPS,420.7262956715,12764.6548272,proteozyme,30.339569830849243
GLU5K,206.3392147753,90000.0,proteozyme,436.1749660529072
IPPS,75.6775192767,36000.0,proteozyme,475.7026967067071
ACOATA,99.9426287554,32149.3890492,proteozyme,321.6784414174511
MLTG2,91.187488693,44577.3078,proteozyme,488.8533332689747
MLTG1,91.187488693,64611.202428,proteozyme,708.5533701396896
AMALT3,103.6853032055,26398.09512,proteozyme,254.5982343098333
MLTP3,239.1190836304,21419.81586,proteozyme,89.57802754508728
SPODM_num1,61.0120521166,43146.086220000005,proteozyme,707.1731686313977
SPODM_num2,56.1745889268,43146.086220000005,proteozyme,768.0712408278202
AHCYSNS,64.3320792067,108.0,proteozyme,1.6787892033303364
TMK,42.7894791129,9301.6763496,proteozyme,217.38232253441404
NTPP4_num1,19.8724826353,9555.0791436,proteozyme,480.8195995918029
NTPP4_num2,80.3354894158,9555.0791436,proteozyme,118.93970165719502
NTPP3_num1,80.3354894158,50618.488464,proteozyme,630.0887544483497
NTPP3_num2,21.6219785511,50618.488464,proteozyme,2341.0664451623384
NTPP3_num3,19.8724826353,50618.488464,proteozyme,2547.164810403965
NTPP6_num1,80.3354894158,10261.6791408,proteozyme,127.73531617748236
NTPP6_num2,86.7108606868,10261.6791408,proteozyme,118.34364299375632
NTPP7_num1,21.6219785511,9517.8514608,proteozyme,440.193363355075
NTPP7_num2,80.3354894158,9517.8514608,proteozyme,118.47629895596398
NTPP7_num3,56.8340508857,9517.8514608,proteozyme,167.46741280049747
NTPP8_num1,80.3354894158,9521.2038096,proteozyme,118.51802831896876
NTPP8_num2,56.8340508857,9521.2038096,proteozyme,167.52639766516498
P5CR,371.7299759224,115200.0,proteozyme,309.90236855165114
CYANST_num1,49.235115507500005,331771.822668,proteozyme,6738.520246133292
CYANST_num2,31.9163474677,331771.822668,proteozyme,10395.043574574438
CYANST_num3,40.6953935214,331771.822668,proteozyme,8152.564552386872
DHPPDA2,106.55547501179998,1152.0,proteozyme,10.81126990304747
GMAND,111.0686884301,18347.6532744,proteozyme,165.19195043837146
PPCSCT,71.08981426119999,15747.6871008,proteozyme,221.51819166300604
CYTD,83.31396460810001,65944.35572400001,proteozyme,791.5162366140564
DCYTD,83.31396460810001,58808.637108,proteozyme,705.8677063878732
DBTS,63.7658638216,1.8,proteozyme,0.0282282696747576
DCTPD,84.1963730494,10867.1811732,proteozyme,129.06946914238182
DHDPS,165.2021547627,39600.0,proteozyme,239.7063165240327
G1PACT,194.9067357646,57600.0,proteozyme,295.5259589877223
GART,56.0452852501,432.0,proteozyme,7.708052480636258
CSND,377.1413149807,15341.805561599998,proteozyme,40.67919623811331
GF6PTA,176.7045026651,7920.000000000001,proteozyme,44.82058963155238
GLUCYS,76.9605181689,24739.0410384,proteozyme,321.4510716274924
GLUN_num1,173.8312930809,43731.73602,proteozyme,251.57573901062528
GLUN_num2,88.5329991176,43731.73602,proteozyme,493.9597263830444
GLUPRT,298.4315650506,219600.0,proteozyme,735.8470943338924
GMPR,197.5013943231,11043.4440888,proteozyme,55.915777843743285
NADS1,80.9286485701,180.0,proteozyme,2.224181463305728
NTRIR2x,139.2164742969,194253.406164,proteozyme,1395.3334700153769
OCBT_num1,146.2377035649,45832.335804,proteozyme,313.40984360890013
OCBT_num2,145.9208501222,45832.335804,proteozyme,314.09038369512075
GARFT,30.6925192059,403200.0,proteozyme,13136.751574386672
GPDDA1,36.2018596208,10438.3751184,proteozyme,288.33809168196893
GPDDA2,36.2018596208,9300.3010812,proteozyme,256.9011973035897
PHETA1_num1,115.1010083991,163144.95552,proteozyme,1417.406830653585
PHETA1_num2,115.0071014388,163144.95552,proteozyme,1418.5641884628849
PHETA1_num3,270.1798343487,163144.95552,proteozyme,603.8383875439109
PPND,111.057197705,79200.0,proteozyme,713.1460331853328
TRPS1,189.4177352539,10429.3724256,proteozyme,55.06016852973257
PRAMPC,30.0552462334,79200.0,proteozyme,2635.147267966352
MCITL2,169.7703123378,38608.820604,proteozyme,227.4179747468345
DXYLK,138.9935278145,37749.012156,proteozyme,271.58827284662937
MDH3,79.5496294808,139494.258576,proteozyme,1753.5500729097446
SOTA,115.34403063109998,24429.8662308,proteozyme,211.8000047088091
SGSAD,70.0357053299,28118.2140612,proteozyme,401.4839849009935
PTA2,611.5608241225,89932.123188,proteozyme,147.05344037862366
MDH2,79.5496294808,42664.644828,proteozyme,536.3273858905588
ACOTA_num1,120.9158436089,17996.3841096,proteozyme,148.8339623036412
ACOTA_num2,115.34403063109998,17996.3841096,proteozyme,156.02354115018824
ACOTA_num3,115.6124117047,17996.3841096,proteozyme,155.66135023259264
ACOTA_num4,59.0769875943,17996.3841096,proteozyme,304.6259608426
GPDDA5,36.2018596208,10984.7016216,proteozyme,303.4292087937016
PDX5PS,371.5359543687,9443.5266384,proteozyme,25.41753100166601
PPBNGS,376.4180596859,864.0,proteozyme,2.2953202636477115
PPNCL2,688.4630962021,540.0,proteozyme,0.7843557671847696
PRAGSr,60.67683992919999,72000.0,proteozyme,1186.61420212411
PRFGS,186.7608682871,50400.0,proteozyme,269.86381281180434
ETHAAL,643.3588303294,71428.12398,proteozyme,111.0237718248598
MAN1PT2,70.0224975999,174021.89724,proteozyme,2485.228365236839
AP4AH,41.3358363491,77148.74714400001,proteozyme,1866.388924429728
AP5AH,41.3358363491,42259.28724,proteozyme,1022.3402009602764
ADNCYC,128.888953978,31838.440557600003,proteozyme,247.02225888988517
MI1PP,38.5297220333,404041.07844,proteozyme,10486.477895968215
MCITS,113.8564440012,35244.939132,proteozyme,309.55594513059384
PPAKr,57.30054790929999,12000.3892236,proteozyme,209.42887391923725
NTP3_num1,90.9582025002,24885.8610228,proteozyme,273.59666680688065
NTP3_num2,48.4775201147,24885.8610228,proteozyme,513.3484750028246
NTP3_num3,47.0983689481,24885.8610228,proteozyme,528.3805273643966
NTP3_num4,51.7654524209,24885.8610228,proteozyme,480.7426547817146
NTP3_num5,41.690199745,24885.8610228,proteozyme,596.923525793004
NTP3_num6,47.6973395036,24885.8610228,proteozyme,521.7452646582461
NTP3_num7,63.8291288483,24885.8610228,proteozyme,389.8825108822208
PPM2,58.60269801,146884.040172,proteozyme,2506.4381873158063
MOAT2,62.4608080203,212400.0,proteozyme,3400.5323775345523
G6PDH2r,73.5728675012,558000.0,proteozyme,7584.3176832940335
NADH5_num1,53.8229526003,19111.9763772,proteozyme,355.08970529969537
NADH5_num2,62.5500922751,19111.9763772,proteozyme,305.5467335386828
NADH5_num3,53.27998282,19111.9763772,proteozyme,358.7083810024397
NADH5_num4,110.1289584406,19111.9763772,proteozyme,173.54178817107749
MOHMT,372.9524834112,36.0,proteozyme,0.0965270419189247
GMPS,155.0038060432,24356.9340684,proteozyme,157.13765158522398
UDPGD,115.3217095674,49328.268588,proteozyme,427.7448606428263
GLCRD_num1,64.5192327408,16806.786767999998,proteozyme,260.49266325778694
GLCRD_num2,64.904105993,16806.786767999998,proteozyme,258.94797425932705
PPPNDO,167.7320954442,20380.612748400003,proteozyme,121.5069345817604
CHRPL_num1,24.800022543700003,828.0,proteozyme,33.38706642467704
CHRPL_num2,78.4936714673,828.0,proteozyme,10.548621112020983
TDPAGTA,221.3669699693,14344.1499204,proteozyme,64.79805872750258
UACMAMO,121.0851667075,34516.7331588,proteozyme,285.0616148729475
FBA3,103.4092616485,14400.0,proteozyme,139.25251733202833
PMPK,151.2739430912,1800.0,proteozyme,11.898942826622932
LCADi,276.1620114976,22726.4981616,proteozyme,82.2940781693919
ADK3,31.151751978,10020.9977784,proteozyme,321.6832807823147
GLUDC_num1,417.510873803,63196.410492,proteozyme,151.36470558565344
GLUDC_num2,417.3758908024,63196.410492,proteozyme,151.41365825061357
BSORy,113.3892865911,52282.985184,proteozyme,461.09281357894815
ADSK,58.9627407298,79200.0,proteozyme,1343.2211430424911
HSDy_num1,234.8009483842,70415.012592,proteozyme,299.8923687343092
HSDy_num2,470.830479813,70415.012592,proteozyme,149.55491543361163
CYSTL_num1,228.2949526635,16792.1494128,proteozyme,73.554624037401
CYSTL_num2,115.2819543001,16792.1494128,proteozyme,145.6615609507015
SHSL1,219.5145858368,36000.0,proteozyme,163.99821388982556
SSALy_num1,131.33198779609998,30829.92795,proteozyme,234.748049331783
SSALy_num2,273.2419144719,30829.92795,proteozyme,112.83015641866515
3HCINNMH,82.13319354609999,13931.4546864,proteozyme,169.62027269255648
BSORx,113.3892865911,11186.7854544,proteozyme,98.65822240103994
FACOAL160t2pp_num1,80.2674696063,20734.335154800003,proteozyme,258.31554497106777
FACOAL160t2pp_num2,164.652845272,20734.335154800003,proteozyme,125.92758491690624
FACOAL180t2pp_num1,80.2674696063,19696.9163904,proteozyme,245.39102187985304
FACOAL180t2pp_num2,164.652845272,19696.9163904,proteozyme,119.6269421148567
SPODMpp,23.352587413,10789.8929496,proteozyme,462.0427175274567
NO3R1bpp,249.9395164329,174653.57754,proteozyme,698.7833698033435
PHYTSpp,124.3028338901,38198.7126,proteozyme,307.3036342338958
PPTHpp,130.5943360756,6160798.2672,proteozyme,47175.08011705472
NO3R2pp_num1,331.465154399,1547926.092,proteozyme,4669.951189308694
NO3R2pp_num2,626.7796951696,1547926.092,proteozyme,2469.649390255291
NTP3pp,124.3028338901,9514.245618,proteozyme,76.54085848446417
NO3R2bpp,174.9219874243,22948.30134,proteozyme,131.19163392727404
THD2pp,272.9944016117,2171332.14336,proteozyme,7953.76070183463
TMAOR1pp_num1,182.3492223125,26365.140126,proteozyme,144.58597515056513
TMAOR1pp_num2,170.7104385592,26365.140126,proteozyme,154.44363185123524
TMAOR2pp_num1,182.3492223125,18727.8636096,proteozyme,102.70328204364496
TMAOR2pp_num2,170.7104385592,18727.8636096,proteozyme,109.70543903268948
ACACT7r_num1,61.4562280765,36389.746296,proteozyme,592.1246297560349
ACACT7r_num2,107.9763626052,36389.746296,proteozyme,337.0158562300701
PSP_L,46.2834520071,5331600.0,proteozyme,115194.5191811129
ACACT2r_num1,61.4562280765,45028.020672,proteozyme,732.6844175329088
ACACT2r_num2,107.9763626052,45028.020672,proteozyme,417.0173877465984
ACACT3r_num1,61.4562280765,35394.1864848,proteozyme,575.9251355410508
ACACT3r_num2,107.9763626052,35394.1864848,proteozyme,327.7956918609468
ACACT4r_num1,61.4562280765,41966.54604,proteozyme,682.868886579901
ACACT4r_num2,107.9763626052,41966.54604,proteozyme,388.66419489832816
AHGDx,233.3846834963,23135.4505512,proteozyme,99.13011515842162
GTPCI,327.9561246926,28.8,proteozyme,0.087816624943336
FDMO,220.4965805623,9726.1219872,proteozyme,44.11008081121667
CHOLD,81.7262633848,32331.5828424,proteozyme,395.60823538658497
DRPA,36.6300542274,57740.04090000001,proteozyme,1576.3023593017049
TKT2_num1,190.7506593655,324065.525472,proteozyme,1698.8959647633694
TKT2_num2,96.4728260071,324065.525472,proteozyme,3359.1378928627023
DMSOR1pp,170.7104385592,32437.321754400004,proteozyme,190.01369821419087
NTD8pp_num1,137.9074561766,15863.734389600002,proteozyme,115.03173816276762
NTD8pp_num2,80.334696952,15863.734389600002,proteozyme,197.47052010513696
TREHpp,84.0496351691,42399.815112,proteozyme,504.4616199308366
CYTBDpp_num1,132.5312496801,49127.839236,proteozyme,370.6887194875422
CYTBDpp_num2,138.2848010227,49127.839236,proteozyme,355.2656464967214
CYTBD2pp,132.5312496801,28476.7107696,proteozyme,214.86789597424183
ATPS4rpp_num1,718.0308451212001,6754830.2712,proteozyme,9407.437461909896
ATPS4rpp_num2,700.0264638171,6754830.2712,proteozyme,9649.39273062236
ECOAH8_num1,101.7948808106,18863.0352216,proteozyme,185.30435982037883
ECOAH8_num2,210.2509481694,18863.0352216,proteozyme,89.71676649183041
GLCDpp_num1,114.5736237402,43571.8008,proteozyme,380.2952143575444
GLCDpp_num2,54.2236751285,43571.8008,proteozyme,803.5567618156267
HYD2pp_num1,637.8455275955,7210616.4576,proteozyme,11304.643750943926
HYD2pp_num2,240.0481153586,7210616.4576,proteozyme,30038.2131591756
ECOAH5_num1,101.7948808106,45024.42384,proteozyme,442.3053839394207
ECOAH5_num2,210.2509481694,45024.42384,proteozyme,214.14611554438105
DHFS,59.9706226061,828.0,proteozyme,13.80676011050415
ACGAMK,43.641906007100005,21792.2283936,proteozyme,499.3418112869468
METS_num1,179.621165681,1116.0,proteozyme,6.213076258406937
